행정구역별(읍면동),2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명)
전국,51069375,25608502,25460873,51269554,25696987,25572567,51422507,25768055,25654452,51629512,25877195,25752317,51779203,25952070,25827133
서울특별시,9904312,4859535,5044777,9805506,4799115,5006391,9741871,4757642,4984229,9673936,4718972,4954964,9639541,4690440,4949101
종로구,161521,79510,82011,154398,75620,78778,157277,76670,80607,157967,77147,80820,154969,74880,80089
중구,128478,63218,65260,128160,62514,65646,127896,62195,65701,129797,62975,66822,130957,63406,67551
용산구,227282,109980,117302,224993,108520,116473,223898,108471,115427,226938,110685,116253,227181,110934,116247
성동구,295006,146332,148674,294744,145935,148809,302367,149060,153307,306796,150623,156173,299688,146630,153058
광진구,368199,180647,187552,363979,177858,186121,363934,177156,186778,362304,175762,186542,359766,174027,185739
동대문구,364787,181189,183598,359935,178285,181650,357380,176460,180920,358141,176323,181818,355094,174161,180933
중랑구,403237,199936,203301,399317,197875,201442,396892,196346,200546,391668,193599,198069,386331,190531,195800
성북구,456844,221861,234983,451800,218606,233194,445417,215068,230349,438734,211204,227530,445327,213832,231495
강북구,319992,156386,163606,316212,154407,161805,313698,152464,161234,309138,150028,159110,303871,147112,156759
도봉구,340095,166187,173908,336745,164407,172338,332586,161944,170642,328243,159569,168674,323543,156961,166582
노원구,562996,274128,288868,555420,270058,285362,543499,263655,279844,534096,258737,275359,522480,252662,269818
은평구,478374,232709,245665,472242,229215,243027,466243,225813,240430,462552,223452,239100,461530,222076,239454
서대문구,308768,147956,160812,320258,151756,168502,321345,151132,170213,318874,149438,169436,319394,149113,170281
마포구,381330,182657,198673,375142,179193,195949,368841,175326,193515,368181,174194,193987,369327,173893,195434
양천구,465512,229878,235634,460267,226927,233340,452111,222503,229608,445591,218975,226616,440354,216078,224276
강서구,570507,278270,292237,574287,279521,294766,581675,282678,298997,578539,280629,297910,574097,277365,296732
구로구,444832,222985,221847,442165,221227,220938,436869,218428,218441,433765,217086,216679,435560,217373,218187
금천구,250690,128036,122654,247819,126271,121548,249930,127252,122678,249344,127278,122066,249747,127242,122505
영등포구,406528,203801,202727,398120,199142,198978,393560,196929,196631,395286,198031,197255,394083,196903,197180
동작구,407894,200602,207292,404076,197854,206222,400236,195253,204983,397980,193713,204267,400368,194049,206319
관악구,519622,261967,257655,515648,259824,255824,511222,256857,254365,510303,255687,254616,507828,254082,253746
서초구,420804,201841,218963,419682,201062,218620,414550,198241,216309,409491,196064,213427,404960,194195,210765
