시점,총인구(명),남자(명),여자(명),인구(명): 0-14세,인구(명): 15-64세,인구(명): 65세 이상
2067,36891071,18218830,18672241,2257600,16361979,18271492
2066,37468030,18504702,18963328,2298364,16708938,18460728
2065,38045859,18790507,19255352,2341140,17135088,18569631
2064,38624058,19076089,19547969,2386493,17585555,18652010
2063,39202153,19361360,19840793,2434823,18031346,18735984
2062,39779946,19646453,20133493,2486256,18511554,18782136
2061,40356926,19931194,20425732,2540601,19005826,18810499
2060,40932201,20215087,20717114,2597464,19520182,18814555
2059,41505535,20498265,21007270,2656374,20030936,18818225
2058,42076195,20780652,21295543,2716843,20547135,18812217
2057,42643072,21061773,21581299,2778406,21072212,18792454
2056,43204429,21340797,21863632,2840769,21586175,18777485
2055,43758328,21616797,22141531,2903906,22039619,18814803
2054,44303774,21889554,22414220,2967944,22481101,18854729
2053,44838831,22158233,22680598,3033132,22900582,18905117
2052,45361076,22421335,22939741,3099870,23299386,18961820
2051,45867954,22677718,23190236,3168716,23700459,18998779
2050,46357293,22926852,23430441,3240253,24109911,19007129
2049,46827691,23167843,23659848,3314970,24506476,19006245
2048,47277474,23399905,23877569,3393290,24946620,18937564
2047,47705632,23622608,24083024,3475484,25442936,18787212
2046,48111807,23835391,24276416,3561581,25983699,18566527
2045,48496500,24038320,24458180,3651296,26515852,18329352
2044,48859918,24231731,24628187,3744045,27035309,18080564
2043,49202101,24415513,24786588,3839024,27479292,17883785
2042,49523827,24589735,24934092,3935164,27908717,17679946
2041,49826479,24754826,25071653,4031166,28326603,17468710
2040,50110656,24910906,25199750,4125620,28761499,17223537
2039,50376350,25058205,25318145,4217114,29232700,16926536
2038,50623170,25196089,25427081,4304324,29769971,16548875
2037,50850548,25323640,25526908,4386120,30325714,16138714
2036,51057924,25440515,25617409,4461716,30884591,15711617
2035,51244654,25546583,25698071,4530874,31476505,15237275
2034,51410184,25641492,25768692,4593899,32032185,14784100
2033,51554363,25724951,25829412,4651351,32628664,14274348
2032,51677398,25797236,25880162,4714792,33121359,13841247
2031,51780132,25859022,25921110,4807457,33551657,13421018
2030,51863696,25910821,25952875,4936833,33947290,12979573
2029,51929072,25953210,25975862,5072943,34338789,12517340
2028,51977168,25986186,25990982,5195939,34663702,12117527
2027,52006711,26009713,25996998,5342437,35075159,11589115
2026,52020345,26025071,25995274,5495171,35410811,11114363
2025,52019445,26032965,25986480,5654910,35853375,10511160
2024,52004445,26033562,25970883,5778233,36281510,9944702
2023,51975701,26026850,25948851,5908421,36620006,9447274
2022,51933287,26012483,25920804,6071774,36886870,8974643
2021,51876648,25989761,25886887,6206669,37132956,8537023
2020,51804408,25957971,25846437,6320667,37358309,8125432
2019,51779203,25952070,25827133,6541289,37519298,7718616
2018,51629512,25877195,25752317,6700684,37539355,7389474
2017,51422507,25768055,25654452,6844221,37512085,7066201
2016,51269554,25696987,25572567,6982016,37506379,6781159
2015,51069375,25608502,25460873,7151354,37365493,6552528
