"성씨, 본관별",행정구역별(시도),2015 년
가(賈),전국,9936
가(賈),서울특별시,1606
가(賈),부산광역시,118
가(賈),대구광역시,46
가(賈),인천광역시,1349
가(賈),광주광역시,21
가(賈),대전광역시,463
가(賈),울산광역시,50
가(賈),세종특별자치시,26
가(賈),경기도,2649
가(賈),강원도,136
가(賈),충청북도,164
가(賈),충청남도,2951
가(賈),전라북도,88
가(賈),전라남도,48
가(賈),경상북도,85
가(賈),경상남도,108
가(賈),제주특별자치도,28
소주,전국,8798
소주,서울특별시,1408
소주,부산광역시,91
소주,대구광역시,39
소주,인천광역시,1221
소주,광주광역시,16
소주,대전광역시,431
소주,울산광역시,40
소주,세종특별자치시,25
소주,경기도,2331
소주,강원도,100
소주,충청북도,145
소주,충청남도,2669
소주,전라북도,63
소주,전라남도,41
소주,경상북도,71
소주,경상남도,84
소주,제주특별자치도,23
기타,전국,1138
기타,서울특별시,198
기타,부산광역시,27
기타,대구광역시,7
기타,인천광역시,128
기타,광주광역시,5
기타,대전광역시,32
기타,울산광역시,10
기타,세종특별자치시,0
기타,경기도,318
기타,강원도,36
기타,충청북도,19
기타,충청남도,282
기타,전라북도,25
기타,전라남도,7
기타,경상북도,14
기타,경상남도,24
기타,제주특별자치도,5
간(簡),전국,2520
간(簡),서울특별시,569
간(簡),부산광역시,50
간(簡),대구광역시,23
간(簡),인천광역시,301
간(簡),광주광역시,6
간(簡),대전광역시,49
간(簡),울산광역시,50
간(簡),세종특별자치시,10
간(簡),경기도,1041
간(簡),강원도,152
간(簡),충청북도,82
간(簡),충청남도,75
간(簡),전라북도,28
간(簡),전라남도,11
간(簡),경상북도,42
간(簡),경상남도,28
가평,전국,2397
가평,서울특별시,550
가평,부산광역시,42
가평,대구광역시,23
가평,인천광역시,261
가평,광주광역시,5
가평,대전광역시,46
가평,울산광역시,49
가평,세종특별자치시,10
가평,경기도,1014
가평,강원도,144
가평,충청북도,79
가평,충청남도,69
가평,전라북도,28
가평,전라남도,10
가평,경상북도,40
가평,경상남도,24
기타,전국,123
기타,서울특별시,19
기타,부산광역시,8
기타,인천광역시,40
기타,광주광역시,0
기타,대전광역시,0
기타,울산광역시,0
기타,경기도,27
기타,강원도,8
기타,충청북도,0
기타,충청남도,6
기타,전라남도,0
기타,경상북도,0
기타,경상남도,0
갈(葛),전국,2086
갈(葛),서울특별시,373
갈(葛),부산광역시,192
갈(葛),대구광역시,114
갈(葛),인천광역시,133
갈(葛),광주광역시,17
갈(葛),대전광역시,75
갈(葛),울산광역시,67
갈(葛),경기도,512
갈(葛),강원도,62
갈(葛),충청북도,60
갈(葛),충청남도,87
갈(葛),전라북도,54
갈(葛),전라남도,19
갈(葛),경상북도,79
갈(葛),경상남도,234
갈(葛),제주특별자치도,5
기타,전국,2086
기타,서울특별시,373
기타,부산광역시,192
기타,대구광역시,114
기타,인천광역시,133
기타,광주광역시,17
기타,대전광역시,75
기타,울산광역시,67
기타,경기도,512
기타,강원도,62
기타,충청북도,60
기타,충청남도,87
기타,전라북도,54
기타,전라남도,19
기타,경상북도,79
기타,경상남도,234
기타,제주특별자치도,5
감(甘),전국,6024
감(甘),서울특별시,754
감(甘),부산광역시,1180
감(甘),대구광역시,280
감(甘),인천광역시,144
감(甘),광주광역시,66
감(甘),대전광역시,97
감(甘),울산광역시,223
감(甘),세종특별자치시,8
감(甘),경기도,816
감(甘),강원도,40
감(甘),충청북도,72
감(甘),충청남도,56
감(甘),전라북도,38
감(甘),전라남도,71
감(甘),경상북도,208
감(甘),경상남도,1951
감(甘),제주특별자치도,20
창원,전국,3318
창원,서울특별시,451
창원,부산광역시,690
창원,대구광역시,214
창원,인천광역시,68
창원,광주광역시,54
창원,대전광역시,47
창원,울산광역시,103
창원,경기도,447
창원,강원도,22
창원,충청북도,39
창원,충청남도,27
창원,전라북도,14
창원,전라남도,56
창원,경상북도,150
창원,경상남도,922
창원,제주특별자치도,10
회산,전국,2277
회산,서울특별시,236
회산,부산광역시,445
회산,대구광역시,58
회산,인천광역시,54
회산,광주광역시,5
회산,대전광역시,23
회산,울산광역시,93
회산,경기도,253
회산,강원도,14
회산,충청북도,16
회산,충청남도,17
회산,전라북도,10
회산,전라남도,9
회산,경상북도,43
회산,경상남도,991
회산,제주특별자치도,8
기타,전국,429
기타,서울특별시,67
기타,부산광역시,45
기타,대구광역시,8
기타,인천광역시,22
기타,광주광역시,7
기타,대전광역시,27
기타,울산광역시,27
기타,세종특별자치시,8
기타,경기도,116
기타,강원도,0
기타,충청북도,17
기타,충청남도,12
기타,전라북도,14
기타,전라남도,6
기타,경상북도,15
기타,경상남도,38
기타,제주특별자치도,0
강(姜),전국,1176847
강(姜),서울특별시,212753
강(姜),부산광역시,99023
강(姜),대구광역시,44596
강(姜),인천광역시,61013
강(姜),광주광역시,36004
강(姜),대전광역시,35918
강(姜),울산광역시,25353
강(姜),세종특별자치시,4485
강(姜),경기도,259564
강(姜),강원도,24621
강(姜),충청북도,29124
강(姜),충청남도,46076
강(姜),전라북도,47989
강(姜),전라남도,48718
강(姜),경상북도,53289
강(姜),경상남도,116643
강(姜),제주특별자치도,31678
진산,전국,2213
진산,서울특별시,394
진산,부산광역시,304
진산,대구광역시,171
진산,인천광역시,121
진산,대전광역시,26
진산,울산광역시,48
진산,경기도,393
진산,강원도,28
진산,충청북도,40
진산,충청남도,45
진산,전라북도,20
진산,전라남도,13
진산,경상북도,188
진산,경상남도,415
진양,전국,193217
진양,서울특별시,22030
진양,부산광역시,41486
진양,대구광역시,8665
진양,인천광역시,4028
진양,광주광역시,732
진양,대전광역시,2004
진양,울산광역시,6658
진양,세종특별자치시,390
진양,경기도,23320
진양,강원도,1526
진양,충청북도,1333
진양,충청남도,2336
진양,전라북도,1644
진양,전라남도,2192
진양,경상북도,6070
진양,경상남도,68097
진양,제주특별자치도,706
진주,전국,968109
진주,서울특별시,187515
진주,부산광역시,56313
진주,대구광역시,35277
진주,인천광역시,55943
진주,광주광역시,35032
진주,대전광역시,33514
진주,울산광역시,18423
진주,세종특별자치시,4031
진주,경기도,232414
진주,강원도,22670
진주,충청북도,27403
진주,충청남도,43123
